
Harley 🏍️

Epitaph: "Harley, riding into the sunset of our memories."
Chloe 🌸

Epitaph: "Chloe, blooming eternally in our garden of love."
Zeus ⚡

Epitaph: "Zeus, the god of tail-wagging adventures."
Cookie 🍪

Epitaph: "Cookie, always leaving a trail of sweetness."
Whiskey 🥃

Epitaph: "Whiskey, aged to purr-fection in our hearts."
Coco 🌰

Epitaph: "Coco, a nutty ball of love."
Peaches 🍑

Epitaph: "Peaches, forever ripe in our memories."
Bentley 🚗

Epitaph: "Bentley, cruising through our hearts."
Willow 🍃

Epitaph: "Willow, the gentle breeze of our lives."
Gizmo 🤖

Epitaph: "Gizmo, the tech-savvy furball."
Nala 🦁

Epitaph: "Nala, forever the queen of our pride."
Casper 👻

Epitaph: "Casper, haunting us with happy memories."
Rosie 🌹

Epitaph: "Rosie, a rose that never fades."
Teddy 🧸

Epitaph: "Teddy, our forever cuddle companion."
Jasper 🌌

Epitaph: "Jasper, shining bright in our starry memories."
Lola 🎀

Epitaph: "Lola, forever a bow-tiful presence."
Milo 🚀

Epitaph: "Milo, soaring through the galaxies of our hearts."
Muffin 🧁

Epitaph: "Muffin, the sweetest treat of our lives."
Winston 🎩

Epitaph: "Winston, a true sir among pets."
Piper 🎶

Epitaph: "Piper, playing the melodies of joy."
Ziggy 🔍

Epitaph: "Ziggy, searching for treats in our hearts."
Ruby 💎

Epitaph: "Ruby, a gem in our pet family."
Louie 🎭

Epitaph: "Louie, the drama king of our home."
Misty 🌫️

Epitaph: "Misty, forever a soft cloud in our lives."
